Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
P1\P2,A3,98.43,98.72,3766,9.89E+04,98.89,cm2016-01-10.010
P1\P2\LL3,A3,98.33,99.89,3762,9.88E+04,98.78,cm2016-01-10.010
P1\P2\UL3,A3,0.1,0.11,4,105,0.11,cm2016-01-10.010
P1\P2\UR3,A3,0,0,0,0,0,cm2016-01-10.010
P1\P2\LR3,A3,0,0,0,0,0,cm2016-01-10.010
P1\P2\LL4,A3,98.43,100,3766,9.89E+04,98.89,cm2016-01-10.010
P1\P2\UL4,A3,0,0,0,0,0,cm2016-01-10.010
P1\P2\UR4,A3,0,0,0,0,0,cm2016-01-10.010
P1\P2\LR4,A3,0,0,0,0,0,cm2016-01-10.010
P1\P2\LL5,A3,97.73,99.28,3739,9.82E+04,98.18,cm2016-01-10.010
P1\P2\UL5,A3,0.26,0.27,10,263,0.26,cm2016-01-10.010
P1\P2\UR5,A3,0.08,0.08,3,78.8,0.08,cm2016-01-10.010
P1\P2\LR5,A3,0.37,0.37,14,368,0.37,cm2016-01-10.010
cm2016-01-10.009,D2,100,---,3966,1.04E+05,103.86,cm2016-01-10.009
P1,D2,99.52,99.52,3947,1.03E+05,103.36,cm2016-01-10.009
P1\P2,D2,98.56,99.04,3909,1.02E+05,102.36,cm2016-01-10.009
P1\P2\LL3,D2,98.44,99.87,3904,1.02E+05,102.23,cm2016-01-10.009
P1\P2\UL3,D2,0.13,0.13,5,131,0.13,cm2016-01-10.009
P1\P2\UR3,D2,0,0,0,0,0,cm2016-01-10.009
P1\P2\LR3,D2,0,0,0,0,0,cm2016-01-10.009
P1\P2\LL4,D2,98.56,100,3909,1.02E+05,102.36,cm2016-01-10.009
P1\P2\UL4,D2,0,0,0,0,0,cm2016-01-10.009
P1\P2\UR4,D2,0,0,0,0,0,cm2016-01-10.009
P1\P2\LR4,D2,0,0,0,0,0,cm2016-01-10.009
P1\P2\LL5,D2,95.34,96.73,3781,9.90E+04,99.01,cm2016-01-10.009
P1\P2\UL5,D2,2.65,2.69,105,2.75E+03,2.75,cm2016-01-10.009
P1\P2\UR5,D2,0.33,0.33,13,340,0.34,cm2016-01-10.009
P1\P2\LR5,D2,0.25,0.26,10,262,0.26,cm2016-01-10.009
cm2016-01-10.008,C2,100,---,3261,8.54E+04,85.4,cm2016-01-10.008
P1,C2,99.45,99.45,3243,8.49E+04,84.92,cm2016-01-10.008
P1\P2,C2,98.56,99.11,3214,8.42E+04,84.16,cm2016-01-10.008
P1\P2\LL3,C2,98.41,99.84,3209,8.40E+04,84.03,cm2016-01-10.008
P1\P2\UL3,C2,0.15,0.16,5,131,0.13,cm2016-01-10.008
P1\P2\UR3,C2,0,0,0,0,0,cm2016-01-10.008
P1\P2\LR3,C2,0,0,0,0,0,cm2016-01-10.008
P1\P2\LL4,C2,98.56,100,3214,8.42E+04,84.16,cm2016-01-10.008
P1\P2\UL4,C2,0,0,0,0,0,cm2016-01-10.008
P1\P2\UR4,C2,0,0,0,0,0,cm2016-01-10.008
P1\P2\LR4,C2,0,0,0,0,0,cm2016-01-10.008
P1\P2\LL5,C2,97.06,98.48,3165,8.29E+04,82.88,cm2016-01-10.008
P1\P2\UL5,C2,0.98,1,32,838,0.84,cm2016-01-10.008
P1\P2\UR5,C2,0.25,0.25,8,209,0.21,cm2016-01-10.008
P1\P2\LR5,C2,0.28,0.28,9,236,0.24,cm2016-01-10.008
cm2016-01-10.007,B2,100,---,4661,1.21E+05,120.94,cm2016-01-10.007
P1,B2,99.81,99.81,4652,1.21E+05,120.7,cm2016-01-10.007
P1\P2,B2,98.99,99.18,4614,1.20E+05,119.72,cm2016-01-10.007
P1\P2\LL3,B2,98.95,99.96,4612,1.20E+05,119.66,cm2016-01-10.007
P1\P2\UL3,B2,0.04,0.04,2,51.9,0.05,cm2016-01-10.007
P1\P2\UR3,B2,0,0,0,0,0,cm2016-01-10.007
P1\P2\LR3,B2,0,0,0,0,0,cm2016-01-10.007
P1\P2\LL4,B2,98.99,100,4614,1.20E+05,119.72,cm2016-01-10.007
P1\P2\UL4,B2,0,0,0,0,0,cm2016-01-10.007
P1\P2\UR4,B2,0,0,0,0,0,cm2016-01-10.007
P1\P2\LR4,B2,0,0,0,0,0,cm2016-01-10.007
P1\P2\LL5,B2,98.28,99.28,4581,1.19E+05,118.86,cm2016-01-10.007
P1\P2\UL5,B2,0.41,0.41,19,493,0.49,cm2016-01-10.007
P1\P2\UR5,B2,0.04,0.04,2,51.9,0.05,cm2016-01-10.007
P1\P2\LR5,B2,0.26,0.26,12,311,0.31,cm2016-01-10.007
cm2016-01-10.006,A2,100,---,3771,9.86E+04,98.59,cm2016-01-10.006
P1,A2,99.6,99.6,3756,9.82E+04,98.2,cm2016-01-10.006
P1\P2,A2,98.62,99.01,3719,9.72E+04,97.23,cm2016-01-10.006
P1\P2\LL3,A2,98.54,99.92,3716,9.72E+04,97.15,cm2016-01-10.006
P1\P2\UL3,A2,0.05,0.05,2,52.3,0.05,cm2016-01-10.006
P1\P2\UR3,A2,0.03,0.03,1,26.1,0.03,cm2016-01-10.006
P1\P2\LR3,A2,0,0,0,0,0,cm2016-01-10.006
P1\P2\LL4,A2,98.62,100,3719,9.72E+04,97.23,cm2016-01-10.006
P1\P2\UL4,A2,0,0,0,0,0,cm2016-01-10.006
P1\P2\UR4,A2,0,0,0,0,0,cm2016-01-10.006
P1\P2\LR4,A2,0,0,0,0,0,cm2016-01-10.006
P1\P2\LL5,A2,96.84,98.2,3652,9.55E+04,95.48,cm2016-01-10.006
P1\P2\UL5,A2,1.3,1.32,49,1.28E+03,1.28,cm2016-01-10.006
P1\P2\UR5,A2,0.08,0.08,3,78.4,0.08,cm2016-01-10.006
P1\P2\LR5,A2,0.4,0.4,15,392,0.39,cm2016-01-10.006
cm2016-01-10.005,D1,100,---,3689,9.31E+04,93.1,cm2016-01-10.005
P1,D1,86.64,86.64,3196,8.07E+04,80.66,cm2016-01-10.005
P1\P2,D1,85.5,98.69,3154,7.96E+04,79.6,cm2016-01-10.005
P1\P2\LL3,D1,85.33,99.81,3148,7.94E+04,79.44,cm2016-01-10.005
P1\P2\UL3,D1,0.14,0.16,5,126,0.13,cm2016-01-10.005
P1\P2\UR3,D1,0.03,0.03,1,25.2,0.03,cm2016-01-10.005
P1\P2\LR3,D1,0,0,0,0,0,cm2016-01-10.005
P1\P2\LL4,D1,85.5,100,3154,7.96E+04,79.6,cm2016-01-10.005
P1\P2\UL4,D1,0,0,0,0,0,cm2016-01-10.005
P1\P2\UR4,D1,0,0,0,0,0,cm2016-01-10.005
P1\P2\LR4,D1,0,0,0,0,0,cm2016-01-10.005
P1\P2\LL5,D1,82.84,96.89,3056,7.71E+04,77.12,cm2016-01-10.005
P1\P2\UL5,D1,2.11,2.47,78,1.97E+03,1.97,cm2016-01-10.005
P1\P2\UR5,D1,0.3,0.35,11,278,0.28,cm2016-01-10.005
P1\P2\LR5,D1,0.24,0.29,9,227,0.23,cm2016-01-10.005
cm2016-01-10.004,C1,100,---,6681,1.67E+05,167.46,cm2016-01-10.004
P1,C1,54.32,54.32,3629,9.10E+04,90.96,cm2016-01-10.004
P1\P2,C1,53.58,98.65,3580,8.97E+04,89.73,cm2016-01-10.004
P1\P2\LL3,C1,53.49,99.83,3574,8.96E+04,89.58,cm2016-01-10.004
P1\P2\UL3,C1,0.06,0.11,4,100,0.1,cm2016-01-10.004
P1\P2\UR3,C1,0.01,0.03,1,25.1,0.03,cm2016-01-10.004
P1\P2\LR3,C1,0.01,0.03,1,25.1,0.03,cm2016-01-10.004
P1\P2\LL4,C1,53.57,99.97,3579,8.97E+04,89.71,cm2016-01-10.004
P1\P2\UL4,C1,0.01,0.03,1,25.1,0.03,cm2016-01-10.004
P1\P2\UR4,C1,0,0,0,0,0,cm2016-01-10.004
P1\P2\LR4,C1,0,0,0,0,0,cm2016-01-10.004
P1\P2\LL5,C1,53.15,99.19,3551,8.90E+04,89.01,cm2016-01-10.004
P1\P2\UL5,C1,0.19,0.36,13,326,0.33,cm2016-01-10.004
P1\P2\UR5,C1,0.12,0.22,8,201,0.2,cm2016-01-10.004
P1\P2\LR5,C1,0.12,0.22,8,201,0.2,cm2016-01-10.004
cm2016-01-10.003,B1,100,---,4239,1.11E+05,110.82,cm2016-01-10.003
P1,B1,99.43,99.43,4215,1.10E+05,110.2,cm2016-01-10.003
P1\P2,B1,98.61,99.17,4180,1.09E+05,109.28,cm2016-01-10.003
P1\P2\LL3,B1,98.56,99.95,4178,1.09E+05,109.23,cm2016-01-10.003
P1\P2\UL3,B1,0.05,0.05,2,52.3,0.05,cm2016-01-10.003
P1\P2\UR3,B1,0,0,0,0,0,cm2016-01-10.003
P1\P2\LR3,B1,0,0,0,0,0,cm2016-01-10.003
P1\P2\LL4,B1,98.61,100,4180,1.09E+05,109.28,cm2016-01-10.003
P1\P2\UL4,B1,0,0,0,0,0,cm2016-01-10.003
P1\P2\UR4,B1,0,0,0,0,0,cm2016-01-10.003
P1\P2\LR4,B1,0,0,0,0,0,cm2016-01-10.003
P1\P2\LL5,B1,98.16,99.55,4161,1.09E+05,108.78,cm2016-01-10.003
P1\P2\UL5,B1,0.05,0.05,2,52.3,0.05,cm2016-01-10.003
P1\P2\UR5,B1,0.07,0.07,3,78.4,0.08,cm2016-01-10.003
P1\P2\LR5,B1,0.33,0.33,14,366,0.37,cm2016-01-10.003
cm2016-01-10.002,A1,100,---,4086,1.06E+05,106.48,cm2016-01-10.002
P1,A1,99.44,99.44,4063,1.06E+05,105.88,cm2016-01-10.002
P1\P2,A1,98.38,98.94,4020,1.05E+05,104.76,cm2016-01-10.002
P1\P2\LL3,A1,98.34,99.95,4018,1.05E+05,104.7,cm2016-01-10.002
P1\P2\UL3,A1,0.05,0.05,2,52.1,0.05,cm2016-01-10.002
P1\P2\UR3,A1,0,0,0,0,0,cm2016-01-10.002
P1\P2\LR3,A1,0,0,0,0,0,cm2016-01-10.002
P1\P2\LL4,A1,98.38,100,4020,1.05E+05,104.76,cm2016-01-10.002
P1\P2\UL4,A1,0,0,0,0,0,cm2016-01-10.002
P1\P2\UR4,A1,0,0,0,0,0,cm2016-01-10.002
P1\P2\LR4,A1,0,0,0,0,0,cm2016-01-10.002
P1\P2\LL5,A1,97.92,99.53,4001,1.04E+05,104.26,cm2016-01-10.002
P1\P2\UL5,A1,0.27,0.27,11,287,0.29,cm2016-01-10.002
P1\P2\UR5,A1,0.02,0.02,1,26.1,0.03,cm2016-01-10.002
P1\P2\LR5,A1,0.17,0.17,7,182,0.18,cm2016-01-10.002
