Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
cm2016-01-08.009,A3,100,---,4256,1.10E+05,110.43,cm2016-01-08.009
P1,A3,99.48,99.48,4234,1.10E+05,109.86,cm2016-01-08.009
P1\P2,A3,98.92,99.43,4210,1.09E+05,109.23,cm2016-01-08.009
P1\P2\LL3,A3,98.75,99.83,4203,1.09E+05,109.05,cm2016-01-08.009
P1\P2\UL3,A3,0.12,0.12,5,130,0.13,cm2016-01-08.009
P1\P2\UR3,A3,0,0,0,0,0,cm2016-01-08.009
P1\P2\LR3,A3,0.05,0.05,2,51.9,0.05,cm2016-01-08.009
P1\P2\LL4,A3,98.92,100,4210,1.09E+05,109.23,cm2016-01-08.009
P1\P2\UL4,A3,0,0,0,0,0,cm2016-01-08.009
P1\P2\UR4,A3,0,0,0,0,0,cm2016-01-08.009
P1\P2\LR4,A3,0,0,0,0,0,cm2016-01-08.009
P1\P2\LL5,A3,97.91,98.98,4167,1.08E+05,108.12,cm2016-01-08.009
P1\P2\UL5,A3,0.45,0.45,19,493,0.49,cm2016-01-08.009
P1\P2\UR5,A3,0.14,0.14,6,156,0.16,cm2016-01-08.009
P1\P2\LR5,A3,0.42,0.43,18,467,0.47,cm2016-01-08.009
cm2016-01-08.008,D2,100,---,4414,1.14E+05,114.22,cm2016-01-08.008
P1,D2,99.48,99.48,4391,1.14E+05,113.62,cm2016-01-08.008
P1\P2,D2,98.87,99.39,4364,1.13E+05,112.92,cm2016-01-08.008
P1\P2\LL3,D2,98.73,99.86,4358,1.13E+05,112.77,cm2016-01-08.008
P1\P2\UL3,D2,0.14,0.14,6,155,0.16,cm2016-01-08.008
P1\P2\UR3,D2,0,0,0,0,0,cm2016-01-08.008
P1\P2\LR3,D2,0,0,0,0,0,cm2016-01-08.008
P1\P2\LL4,D2,98.87,100,4364,1.13E+05,112.92,cm2016-01-08.008
P1\P2\UL4,D2,0,0,0,0,0,cm2016-01-08.008
P1\P2\UR4,D2,0,0,0,0,0,cm2016-01-08.008
P1\P2\LR4,D2,0,0,0,0,0,cm2016-01-08.008
P1\P2\LL5,D2,94.63,95.71,4177,1.08E+05,108.08,cm2016-01-08.008
P1\P2\UL5,D2,3.35,3.39,148,3.83E+03,3.83,cm2016-01-08.008
P1\P2\UR5,D2,0.57,0.57,25,647,0.65,cm2016-01-08.008
P1\P2\LR5,D2,0.32,0.32,14,362,0.36,cm2016-01-08.008
cm2016-01-08.007,C2,100,---,4273,1.11E+05,111.17,cm2016-01-08.007
P1,C2,99.49,99.49,4251,1.11E+05,110.6,cm2016-01-08.007
P1\P2,C2,99.18,99.69,4238,1.10E+05,110.26,cm2016-01-08.007
P1\P2\LL3,C2,99.02,99.83,4231,1.10E+05,110.08,cm2016-01-08.007
P1\P2\UL3,C2,0.12,0.12,5,130,0.13,cm2016-01-08.007
P1\P2\UR3,C2,0.05,0.05,2,52,0.05,cm2016-01-08.007
P1\P2\LR3,C2,0,0,0,0,0,cm2016-01-08.007
P1\P2\LL4,C2,99.16,99.98,4237,1.10E+05,110.23,cm2016-01-08.007
P1\P2\UL4,C2,0.02,0.02,1,26,0.03,cm2016-01-08.007
P1\P2\UR4,C2,0,0,0,0,0,cm2016-01-08.007
P1\P2\LR4,C2,0,0,0,0,0,cm2016-01-08.007
P1\P2\LL5,C2,97.26,98.07,4156,1.08E+05,108.12,cm2016-01-08.007
P1\P2\UL5,C2,1.26,1.27,54,1.40E+03,1.4,cm2016-01-08.007
P1\P2\UR5,C2,0.35,0.35,15,390,0.39,cm2016-01-08.007
P1\P2\LR5,C2,0.3,0.31,13,338,0.34,cm2016-01-08.007
cm2016-01-08.006,B2,100,---,4701,1.18E+05,117.83,cm2016-01-08.006
P1,B2,99.4,99.4,4673,1.17E+05,117.13,cm2016-01-08.006
P1\P2,B2,98.83,99.42,4646,1.16E+05,116.45,cm2016-01-08.006
P1\P2\LL3,B2,98.74,99.91,4642,1.16E+05,116.35,cm2016-01-08.006
P1\P2\UL3,B2,0.09,0.09,4,100,0.1,cm2016-01-08.006
P1\P2\UR3,B2,0,0,0,0,0,cm2016-01-08.006
P1\P2\LR3,B2,0,0,0,0,0,cm2016-01-08.006
P1\P2\LL4,B2,98.83,100,4646,1.16E+05,116.45,cm2016-01-08.006
P1\P2\UL4,B2,0,0,0,0,0,cm2016-01-08.006
P1\P2\UR4,B2,0,0,0,0,0,cm2016-01-08.006
P1\P2\LR4,B2,0,0,0,0,0,cm2016-01-08.006
P1\P2\LL5,B2,97.94,99.1,4604,1.15E+05,115.4,cm2016-01-08.006
P1\P2\UL5,B2,0.49,0.5,23,576,0.58,cm2016-01-08.006
P1\P2\UR5,B2,0.13,0.13,6,150,0.15,cm2016-01-08.006
P1\P2\LR5,B2,0.28,0.28,13,326,0.33,cm2016-01-08.006
cm2016-01-08.005,A2,100,---,4347,1.14E+05,113.83,cm2016-01-08.005
P1,A2,99.59,99.59,4329,1.13E+05,113.36,cm2016-01-08.005
P1\P2,A2,99.22,99.63,4313,1.13E+05,112.94,cm2016-01-08.005
P1\P2\LL3,A2,99.1,99.88,4308,1.13E+05,112.81,cm2016-01-08.005
P1\P2\UL3,A2,0.07,0.07,3,78.6,0.08,cm2016-01-08.005
P1\P2\UR3,A2,0.02,0.02,1,26.2,0.03,cm2016-01-08.005
P1\P2\LR3,A2,0.02,0.02,1,26.2,0.03,cm2016-01-08.005
P1\P2\LL4,A2,99.19,99.98,4312,1.13E+05,112.92,cm2016-01-08.005
P1\P2\UL4,A2,0.02,0.02,1,26.2,0.03,cm2016-01-08.005
P1\P2\UR4,A2,0,0,0,0,0,cm2016-01-08.005
P1\P2\LR4,A2,0,0,0,0,0,cm2016-01-08.005
P1\P2\LL5,A2,98.27,99.05,4272,1.12E+05,111.87,cm2016-01-08.005
P1\P2\UL5,A2,0.28,0.28,12,314,0.31,cm2016-01-08.005
P1\P2\UR5,A2,0.14,0.14,6,157,0.16,cm2016-01-08.005
P1\P2\LR5,A2,0.53,0.53,23,602,0.6,cm2016-01-08.005
cm2016-01-08.004,D1,100,---,4610,1.16E+05,115.86,cm2016-01-08.004
P1,D1,88.7,88.7,4089,1.03E+05,102.76,cm2016-01-08.004
P1\P2,D1,87.9,99.1,4052,1.02E+05,101.83,cm2016-01-08.004
P1\P2\LL3,D1,87.66,99.73,4041,1.02E+05,101.56,cm2016-01-08.004
P1\P2\UL3,D1,0.2,0.22,9,226,0.23,cm2016-01-08.004
P1\P2\UR3,D1,0.04,0.05,2,50.3,0.05,cm2016-01-08.004
P1\P2\LR3,D1,0,0,0,0,0,cm2016-01-08.004
P1\P2\LL4,D1,87.9,100,4052,1.02E+05,101.83,cm2016-01-08.004
P1\P2\UL4,D1,0,0,0,0,0,cm2016-01-08.004
P1\P2\UR4,D1,0,0,0,0,0,cm2016-01-08.004
P1\P2\LR4,D1,0,0,0,0,0,cm2016-01-08.004
P1\P2\LL5,D1,83.71,95.24,3859,9.70E+04,96.98,cm2016-01-08.004
P1\P2\UL5,D1,3.28,3.73,151,3.79E+03,3.79,cm2016-01-08.004
P1\P2\UR5,D1,0.59,0.67,27,679,0.68,cm2016-01-08.004
P1\P2\LR5,D1,0.33,0.37,15,377,0.38,cm2016-01-08.004
cm2016-01-08.003,C1,100,---,5303,1.33E+05,132.92,cm2016-01-08.003
P1,C1,90.35,90.35,4791,1.20E+05,120.09,cm2016-01-08.003
P1\P2,C1,89.78,99.37,4761,1.19E+05,119.34,cm2016-01-08.003
P1\P2\LL3,C1,89.55,99.75,4749,1.19E+05,119.03,cm2016-01-08.003
P1\P2\UL3,C1,0.19,0.21,10,251,0.25,cm2016-01-08.003
P1\P2\UR3,C1,0.02,0.02,1,25.1,0.03,cm2016-01-08.003
P1\P2\LR3,C1,0.02,0.02,1,25.1,0.03,cm2016-01-08.003
P1\P2\LL4,C1,89.78,100,4761,1.19E+05,119.34,cm2016-01-08.003
P1\P2\UL4,C1,0,0,0,0,0,cm2016-01-08.003
P1\P2\UR4,C1,0,0,0,0,0,cm2016-01-08.003
P1\P2\LR4,C1,0,0,0,0,0,cm2016-01-08.003
P1\P2\LL5,C1,88.89,99.01,4714,1.18E+05,118.16,cm2016-01-08.003
P1\P2\UL5,C1,0.34,0.38,18,451,0.45,cm2016-01-08.003
P1\P2\UR5,C1,0.17,0.19,9,226,0.23,cm2016-01-08.003
P1\P2\LR5,C1,0.38,0.42,20,501,0.5,cm2016-01-08.003
cm2016-01-08.002,B1,100,---,5583,1.43E+05,143.31,cm2016-01-08.002
P1,B1,89.18,89.18,4979,1.28E+05,127.8,cm2016-01-08.002
P1\P2,B1,88.61,99.36,4947,1.27E+05,126.98,cm2016-01-08.002
P1\P2\LL3,B1,88.43,99.8,4937,1.27E+05,126.73,cm2016-01-08.002
P1\P2\UL3,B1,0.14,0.16,8,205,0.21,cm2016-01-08.002
P1\P2\UR3,B1,0.02,0.02,1,25.7,0.03,cm2016-01-08.002
P1\P2\LR3,B1,0.02,0.02,1,25.7,0.03,cm2016-01-08.002
P1\P2\LL4,B1,88.61,100,4947,1.27E+05,126.98,cm2016-01-08.002
P1\P2\UL4,B1,0,0,0,0,0,cm2016-01-08.002
P1\P2\UR4,B1,0,0,0,0,0,cm2016-01-08.002
P1\P2\LR4,B1,0,0,0,0,0,cm2016-01-08.002
P1\P2\LL5,B1,87.21,98.42,4869,1.25E+05,124.98,cm2016-01-08.002
P1\P2\UL5,B1,0.73,0.83,41,1.05E+03,1.05,cm2016-01-08.002
P1\P2\UR5,B1,0.2,0.22,11,282,0.28,cm2016-01-08.002
P1\P2\LR5,B1,0.47,0.53,26,667,0.67,cm2016-01-08.002
cm2016-01-08.001,A1,100,---,3835,9.95E+04,99.45,cm2016-01-08.001
P1,A1,99.56,99.56,3818,9.90E+04,99.01,cm2016-01-08.001
P1\P2,A1,98.83,99.27,3790,9.83E+04,98.28,cm2016-01-08.001
P1\P2\LL3,A1,98.72,99.89,3786,9.82E+04,98.18,cm2016-01-08.001
P1\P2\UL3,A1,0.08,0.08,3,77.8,0.08,cm2016-01-08.001
P1\P2\UR3,A1,0,0,0,0,0,cm2016-01-08.001
P1\P2\LR3,A1,0.03,0.03,1,25.9,0.03,cm2016-01-08.001
P1\P2\LL4,A1,98.83,100,3790,9.83E+04,98.28,cm2016-01-08.001
P1\P2\UL4,A1,0,0,0,0,0,cm2016-01-08.001
P1\P2\UR4,A1,0,0,0,0,0,cm2016-01-08.001
P1\P2\LR4,A1,0,0,0,0,0,cm2016-01-08.001
P1\P2\LL5,A1,98.15,99.31,3764,9.76E+04,97.61,cm2016-01-08.001
P1\P2\UL5,A1,0.18,0.18,7,182,0.18,cm2016-01-08.001
P1\P2\UR5,A1,0.1,0.11,4,104,0.1,cm2016-01-08.001
P1\P2\LR5,A1,0.39,0.4,15,389,0.39,cm2016-01-08.001
